env_steps,critic_loss,q1,q2,actor_loss,entropy,coef,critic_grad_norm,critic_seq_grad_norm,actor_grad_norm,actor_seq_grad_norm
88500,inf,2649018209.28,2672515366.4,-1.0580660867227976e+19,2.7726,3.8161665408651756e+18,inf,0.0,20541951438262.855,2714697891840.0
88600,inf,2649046630.4,2672538895.36,-1.0580660867227976e+19,2.7726,3.8161665408651756e+18,inf,0.0,3997667151872.0,525923958784.0
88700,inf,2649048783.36,2672541214.72,-1.058066085623286e+19,2.7726,3.8161665408651756e+18,inf,0.0,3453424635611.4287,453731819520.0
88800,inf,2649097620.48,2672585164.8,-1.0580660867227976e+19,2.7726,3.8161665408651756e+18,inf,0.0,11506570255213.715,1512895397888.0
88900,inf,2649051432.96,2672541399.04,-1.0580660867227976e+19,2.7726,3.8161665408651756e+18,inf,0.0,14284000272384.0,1880324505600.0
89000,inf,2649055485.44,2672548764.16,-1.0580660867227976e+19,2.7726,3.8161665408651756e+18,inf,0.0,68220205348571.43,8957331767296.0
89100,inf,2649099110.4,2672585484.8,-1.058066085623286e+19,2.7726,3.8161665408651756e+18,inf,0.0,2010757096301.7144,266331906048.0
89200,inf,2649071388.16,2672560583.68,-1.058066085623286e+19,2.7726,3.8161665408651756e+18,inf,0.0,2255428461129.143,293869879296.0
89300,inf,2649080857.6,2672569873.92,-1.0580660845237744e+19,2.7726,3.8161665408651756e+18,inf,0.0,19844962776795.43,2604824887296.0
89400,inf,2649056128.0,2672546905.6,-1.0580660867227976e+19,2.7726,3.8161665408651756e+18,inf,0.0,384637413229.7143,50363153920.0
89500,inf,2649089113.6,2672575872.0,-1.0580660845237744e+19,2.7726,3.8161665408651756e+18,inf,0.0,14843405911186.285,1951444566016.0
89600,inf,2649070248.96,2672560130.56,-1.0580660867227976e+19,2.7726,3.8161665408651756e+18,inf,0.0,26391975107437.715,3468492210176.0
89700,inf,2649081794.56,2672571975.68,-1.058066085623286e+19,2.7726,3.8161665408651756e+18,inf,0.0,5886826356150.857,769966899200.0
