env_steps,return,restorations,length,FPS,time
33200,-1379.0,80,100,65.4244,1.5285
33300,-1408.0,91,100,66.4151,1.5057
33400,-1450.0,80,100,65.764,1.5206
33500,-1569.0,98,100,65.8684,1.5182
33600,-1018.0,76,100,66.9864,1.4928
33700,-1382.0,80,100,66.2618,1.5092
33800,-1477.0,80,100,63.6847,1.5702
33900,-1499.0,80,100,65.5099,1.5265
34000,-1386.0,80,100,66.2956,1.5084
34100,-1273.0,80,100,64.3781,1.5533
34200,-1449.0,79,100,65.1088,1.5359
34300,-1530.0,80,100,66.0366,1.5143
34400,-1495.0,79,100,63.3522,1.5785
34500,-1514.0,80,100,65.3786,1.5296
34600,-1471.0,80,100,64.457,1.5514
34700,-1150.0,77,100,64.727,1.545
34800,-1517.0,97,100,64.9874,1.5388
34900,-1553.0,79,100,65.9129,1.5172
35000,-1492.0,79,100,66.1553,1.5116
35100,-874.0,71,100,65.8826,1.5179
35200,-1433.0,80,100,65.4995,1.5267
35300,-1374.0,80,100,65.0555,1.5372
35400,-1318.0,80,100,65.474,1.5273
35500,-1208.0,80,100,66.4272,1.5054
35600,-1253.0,78,100,67.0728,1.4909
35700,-1494.0,75,100,65.2399,1.5328
35800,-1372.0,80,100,64.9281,1.5402
35900,-1486.0,80,100,66.5288,1.5031
36000,-1207.0,78,100,65.9794,1.5156
36100,-1038.0,73,100,65.0857,1.5364
36200,-1423.0,80,100,64.7751,1.5438
36300,-1403.0,80,100,65.923,1.5169
36400,-1412.0,80,100,52.0607,1.9208
36500,-1355.0,78,100,65.7868,1.5201
36600,-1383.0,80,100,64.8057,1.5431
36700,-1446.0,79,100,66.7251,1.4987
