env_steps,critic_loss,q1,q2,actor_loss,entropy,coef,critic_grad_norm,critic_seq_grad_norm,actor_grad_norm,actor_seq_grad_norm
40100,1.0494122485149913e+19,300606767.36,305664547.2,-2645601064.96,3.9703,591217560.32,743246687937196.8,1931140595712.0,231.208,2.2679
40200,1.1656181942934276e+19,304471187.2,309606674.56,-2775023856.64,3.9703,622877612.8,788094949493344.0,1875125698560.0,224.7964,3.0839
40300,1.2946623720893112e+19,308362563.84,313577121.92,-2911204382.72,3.9703,656233082.88,837588913444582.4,1834231496704.0,853.0591,9.4436
40400,1.437969790753682e+19,312271781.76,317565279.36,-3054500638.72,3.9703,691374762.24,894161266994873.6,1782019768320.0,223.3695,2.6355
40500,1.5970916236988199e+19,316217246.08,321590071.04,-3205290368.0,3.9703,728398297.6,949295116428396.8,1706651238400.0,695.3684,8.4037
40600,1.7737762703347495e+19,320192544.64,325646908.8,-3363975613.44,3.9703,767404483.84,1004041718674288.0,1681492705280.0,455.516,5.1762
40700,1.969946086005149e+19,324213013.12,329747706.88,-3530977807.36,3.9703,808499456.0,1069690624271094.4,1638368739328.0,200.5484,2.6923
40800,2.1877596781171556e+19,328265751.04,333882220.8,-3706741120.0,3.9703,851795095.04,1134745598473836.8,1583418425344.0,276.6873,2.194
40900,2.4296363240955986e+19,332327526.4,338026432.64,-3891731993.6,3.9703,897409217.28,1207217289284124.8,1553339678720.0,134.9939,0.9026
41000,2.6981486788393337e+19,336453605.12,342236483.2,-4086443525.12,3.9703,945466039.04,1284132681309011.2,1463750082560.0,54.0168,0.5005
41100,2.9963341959966503e+19,340575685.76,346441047.04,-4291393592.32,3.9703,996096302.08,1363414703672537.5,1425436229632.0,219.5526,3.2318
41200,3.3273577758076363e+19,344757340.8,350707746.56,-4507128698.88,3.9703,1049437849.6,1456805854460115.2,1385572794368.0,340.2851,2.261
41300,3.694887608964878e+19,348969499.52,355006837.12,-4734226073.6,3.9703,1105635868.16,1540495233439462.5,1354455711744.0,99.7525,0.9397
41400,4.102969089018034e+19,353198792.32,359320855.68,-4973292564.48,3.9703,1164843343.36,1639460727566316.8,1290753908736.0,57.711,0.3013
41500,4.556022943204065e+19,357470318.72,363678565.12,-5224967352.32,3.9703,1227221401.6,1753701095783078.5,1253020049408.0,356.5459,3.9687
41600,5.059008408768892e+19,361779048.32,368075653.76,-5489922590.72,3.9703,1292939842.56,1869645115022764.8,1208538095616.0,334.362,3.0935
41700,5.617475231071297e+19,366102504.96,372486514.56,-5768869079.04,3.9703,1362177569.28,1963012924689049.5,1145152471040.0,46.9616,0.5268
41800,6.237398428975496e+19,370499878.4,376974431.36,-6062554808.32,3.9703,1435122984.96,2105278633241734.2,1134934261760.0,515.1445,5.459
41900,6.92574855435787e+19,374883738.88,381447068.8,-6371767480.32,3.9703,1511974699.52,2216116168866720.2,1100463071232.0,1330.5642,12.6274
42000,7.689876686875032e+19,379332194.56,385985162.24,-6697336217.6,3.9703,1592941841.92,2342173193906528.0,1086918156288.0,178.8315,0.7779
