env_steps,critic_loss,q1
57500,2.9013,-13.8468
57600,2.5123,-13.8786
57700,2.4904,-13.8905
57800,2.847,-13.897
57900,2.5945,-13.9169
58000,2.886,-13.9281
58100,3.1607,-13.8886
58200,2.5483,-13.9198
58300,3.0581,-13.8775
58400,2.6243,-13.9024
58500,2.5985,-13.8982
58600,2.8827,-13.8638
58700,2.8874,-13.8692
58800,3.1673,-13.8445
58900,2.4431,-13.8811
59000,2.668,-13.8552
59100,2.7856,-13.8874
59200,2.6961,-13.8781
59300,2.8139,-13.8387
59400,2.6488,-13.8663
59500,2.2959,-13.946
59600,2.7636,-13.9357
59700,2.6921,-13.9355
59800,2.5582,-13.9548
59900,3.0062,-13.948
60000,2.5013,-13.9842
60100,2.8167,-13.9293
60200,3.1244,-13.9143
60300,2.9245,-13.9063
60400,2.6746,-13.9332
60500,2.9166,-13.879
60600,2.6492,-13.9166
60700,2.3841,-13.9855
60800,2.8164,-13.9694
60900,2.7344,-13.9693
61000,3.1946,-13.8806
61100,2.6003,-13.8988
61200,3.077,-13.8495
61300,2.5491,-13.9045
61400,2.512,-13.9275
61500,2.6108,-13.9284
61600,3.0196,-13.861
61700,2.886,-13.8462
61800,2.7404,-13.8552
61900,2.7749,-13.87
62000,2.5555,-13.8692
62100,2.7832,-13.8758
62200,2.9648,-13.8332
62300,2.6591,-13.8849
62400,2.6785,-13.8957
62500,2.8339,-13.9116
62600,2.8113,-13.9122
62700,2.2904,-13.9649
62800,2.815,-13.941
62900,2.9784,-13.9242
63000,2.7891,-13.9279
63100,2.7234,-13.9086
63200,2.7029,-13.9185
63300,2.8317,-13.9036
63400,2.6756,-13.8967
63500,3.0182,-13.8487
63600,2.9233,-13.8757
63700,2.6835,-13.8831
63800,3.0156,-13.8451
63900,2.6368,-13.8606
64000,2.8108,-13.8652
64100,2.6298,-13.8523
64200,2.8645,-13.8269
64300,2.6859,-13.8436
64400,2.4736,-13.8737
64500,3.1057,-13.8297
64600,3.027,-13.8319
64700,2.7605,-13.8292
64800,2.8802,-13.8164
64900,2.6485,-13.8655
65000,2.6771,-13.8846
65100,2.7352,-13.8307
65200,2.8943,-13.8462
65300,2.5047,-13.8753
