#{"t_start": 1737121099.5422232, "env_id": "None"}
r,l,t,invalid_share
-7.0,100,6.511303,0.15
-8.0,100,6.561379,0.15
-3.0,100,6.610652,0.14
-12.0,100,6.66038,0.14
-11.0,100,6.709909,0.03
-13.0,100,6.759146,0.17
-10.0,100,6.80872,0.1
-13.0,100,7.596255,0.12
-9.0,100,7.648688,0.13
-6.0,100,7.701177,0.1
-7.0,100,7.753007,0.14
-13.0,100,7.804486,0.1
-9.0,100,7.854357,0.06
-9.0,100,7.904208,0.1
-8.0,100,7.957425,0.09
-11.0,100,8.008585,0.14
-11.0,100,8.059448,0.2
-9.0,100,8.109692,0.13
-9.0,100,8.160074,0.09
-9.0,100,8.210481,0.14
-6.0,100,8.262554,0.18
-6.0,100,8.313143,0.14
-9.0,100,8.364397,0.13
-7.0,100,8.415995,0.18
-9.0,100,8.467674,0.16
-6.0,100,8.518422,0.08
-8.0,100,8.575075,0.17
-6.0,100,8.628417,0.1
-6.0,100,9.470498,0.13
-3.0,100,9.522138,0.1
-9.0,100,9.574845,0.16
-3.0,100,9.626997,0.15
-5.0,100,9.680279,0.11
-6.0,100,9.734255,0.06
-4.0,100,9.788365,0.09
-8.0,100,9.841863,0.1
-7.0,100,9.895761,0.12
-12.0,100,9.948863,0.09
-7.0,100,10.000672,0.1
-1.0,100,10.05197,0.17
-8.0,100,10.104041,0.15
-8.0,100,10.155203,0.11
-10.0,100,10.206657,0.12
-7.0,100,10.256338,0.13
-1.0,100,10.306903,0.07
-7.0,100,10.357197,0.06
-7.0,100,10.407642,0.13
-8.0,100,10.46176,0.07
-4.0,100,11.07068,0.17
-3.0,100,11.123509,0.08
-4.0,100,11.177782,0.17
-5.0,100,11.230869,0.15
-4.0,100,11.282966,0.07
-3.0,100,11.333101,0.17
-6.0,100,11.382279,0.14
-6.0,100,11.433783,0.14
-3.0,100,11.484865,0.14
-3.0,100,11.535611,0.15
-4.0,100,11.585184,0.09
-2.0,100,11.634131,0.17
-8.0,100,11.687159,0.09
-4.0,100,11.740951,0.13
-3.0,100,11.796714,0.11
-4.0,100,11.851926,0.13
-4.0,100,11.902324,0.1
-2.0,100,11.954546,0.13
-4.0,100,12.004413,0.11
-3.0,100,12.054135,0.13
-5.0,100,12.104407,0.1
-3.0,100,12.988203,0.14
-3.0,100,13.041456,0.21
-6.0,100,13.095064,0.18
-5.0,100,13.149373,0.11
-2.0,100,13.199281,0.18
-1.0,100,13.249069,0.19
-1.0,100,13.29929,0.21
-6.0,100,13.348698,0.11
-2.0,100,13.398798,0.14
-6.0,100,13.448336,0.17
0.0,100,13.49935,0.14
-3.0,100,13.553077,0.18
-2.0,100,13.634139,0.11
-6.0,100,13.686475,0.11
-5.0,100,13.736729,0.17
-3.0,100,13.789198,0.16
-2.0,100,13.838799,0.2
-8.0,100,13.889552,0.07
-8.0,100,13.939772,0.11
-3.0,100,13.988995,0.13
-4.0,100,14.601094,0.13
-1.0,100,14.654255,0.04
-2.0,100,14.705422,0.07
-2.0,100,14.756648,0.21
-4.0,100,14.816134,0.13
-5.0,100,14.868126,0.12
-2.0,100,14.918238,0.16
-5.0,100,14.968947,0.12
-5.0,100,15.020035,0.16
-2.0,100,15.069875,0.1
-6.0,100,15.119679,0.14
-3.0,100,15.171194,0.13
-4.0,100,15.22128,0.05
-2.0,100,15.273008,0.11
-1.0,100,15.322411,0.12
-3.0,100,15.371851,0.13
-1.0,100,15.421488,0.14
-3.0,100,15.471529,0.18
-1.0,100,15.520706,0.18
-2.0,100,15.570589,0.17
-3.0,100,15.621556,0.15
-2.0,100,16.213133,0.16
-4.0,100,16.264975,0.22
-2.0,100,16.316085,0.18
-1.0,100,16.367712,0.16
-2.0,100,16.41842,0.12
-2.0,100,16.467178,0.21
-3.0,100,16.51827,0.15
-1.0,100,16.567499,0.18
-2.0,100,16.616384,0.2
0.0,100,16.665198,0.13
0.0,100,16.718075,0.16
0.0,100,16.768498,0.16
-3.0,100,16.818205,0.08
-1.0,100,16.869501,0.11
-3.0,100,16.920093,0.12
-2.0,100,16.96933,0.16
-3.0,100,17.020725,0.17
-5.0,100,17.070365,0.15
-2.0,100,17.121038,0.21
-1.0,100,17.170541,0.11
-2.0,100,17.824798,0.07
-2.0,100,17.877233,0.18
-3.0,100,17.93911,0.13
0.0,100,17.994077,0.2
-2.0,100,18.044682,0.17
-2.0,100,18.094111,0.22
-2.0,100,18.143617,0.24
0.0,100,18.193442,0.13
-2.0,100,18.244701,0.13
-1.0,100,18.29535,0.17
-4.0,100,18.349022,0.11
-1.0,100,18.398986,0.18
-3.0,100,18.448691,0.22
-2.0,100,18.499777,0.17
-2.0,100,18.550361,0.19
-2.0,100,18.602358,0.12
-2.0,100,18.652589,0.12
-3.0,100,18.701893,0.15
0.0,100,18.752384,0.07
-3.0,100,18.802323,0.13
0.0,100,18.855482,0.14
0.0,100,19.49891,0.18
-2.0,100,19.553096,0.14
-1.0,100,19.606161,0.15
-2.0,100,19.658111,0.21
0.0,100,19.707633,0.16
0.0,100,19.756776,0.17
-2.0,100,19.805687,0.18
-1.0,100,19.85471,0.17
-2.0,100,19.904169,0.17
0.0,100,19.955314,0.19
-2.0,100,20.00588,0.16
-1.0,100,20.055374,0.1
0.0,100,20.104386,0.15
-2.0,100,20.154098,0.13
-1.0,100,20.204567,0.05
-1.0,100,20.253906,0.15
-2.0,100,20.303698,0.12
-1.0,100,20.353181,0.12
0.0,100,20.402396,0.1
0.0,100,20.453569,0.18
-1.0,100,21.074876,0.16
0.0,100,21.128533,0.14
-2.0,100,21.182627,0.08
-1.0,100,21.234107,0.18
-1.0,100,21.287483,0.13
-2.0,100,21.339975,0.13
0.0,100,21.39093,0.17
-2.0,100,21.440239,0.15
-2.0,100,21.489775,0.15
0.0,100,21.540429,0.23
-1.0,100,21.590476,0.11
-1.0,100,21.639314,0.2
-1.0,100,21.688586,0.16
-1.0,100,21.738139,0.13
0.0,100,21.786513,0.17
-2.0,100,21.835865,0.1
-1.0,100,21.887109,0.17
0.0,100,21.938495,0.16
0.0,100,21.989454,0.16
-3.0,100,22.043146,0.15
-1.0,100,22.096448,0.17
-3.0,100,22.850034,0.18
0.0,100,22.901286,0.17
0.0,100,22.954605,0.16
-2.0,100,23.00749,0.09
-1.0,100,23.058763,0.14
-1.0,100,23.108892,0.17
0.0,100,23.159141,0.18
-1.0,100,23.208245,0.2
0.0,100,23.260503,0.11
-1.0,100,23.309303,0.13
-1.0,100,23.358683,0.16
0.0,100,23.40736,0.19
-1.0,100,23.455919,0.26
-2.0,100,23.504709,0.16
0.0,100,23.55444,0.22
0.0,100,23.603331,0.16
-1.0,100,23.652164,0.16
-1.0,100,23.704305,0.1
-1.0,100,23.756505,0.14
0.0,100,23.806553,0.19
-1.0,100,24.452738,0.2
0.0,100,24.506753,0.11
-1.0,100,24.558351,0.17
0.0,100,24.609191,0.15
-1.0,100,24.661049,0.1
-2.0,100,24.712409,0.14
0.0,100,24.763002,0.18
0.0,100,24.81235,0.15
0.0,100,24.863872,0.18
-1.0,100,24.915713,0.14
0.0,100,24.965329,0.17
0.0,100,25.014343,0.15
-1.0,100,25.063306,0.2
-1.0,100,25.113749,0.16
0.0,100,25.163241,0.17
0.0,100,25.219132,0.16
-1.0,100,25.271817,0.15
0.0,100,25.321823,0.2
-1.0,100,25.373678,0.2
-1.0,100,25.423412,0.09
0.0,100,25.475074,0.14
0.0,100,26.102218,0.12
-2.0,100,26.155408,0.2
-1.0,100,26.208253,0.22
-1.0,100,26.26369,0.24
-1.0,100,26.313929,0.09
0.0,100,26.363225,0.08
0.0,100,26.411926,0.21
0.0,100,26.464997,0.14
-1.0,100,26.516624,0.18
0.0,100,26.566324,0.21
-1.0,100,26.618101,0.24
0.0,100,26.668145,0.25
0.0,100,26.718144,0.12
-1.0,100,26.767385,0.14
-2.0,100,26.816701,0.19
-1.0,100,26.865734,0.19
0.0,100,26.915151,0.12
0.0,100,26.967134,0.11
-1.0,100,27.017373,0.13
0.0,100,27.066347,0.17
-1.0,100,27.708055,0.24
0.0,100,27.761698,0.12
0.0,100,27.8143,0.16
-1.0,100,27.866218,0.18
0.0,100,27.916794,0.25
0.0,100,27.970275,0.2
-2.0,100,28.021791,0.16
-4.0,100,28.074105,0.16
0.0,100,28.124031,0.08
-1.0,100,28.173462,0.11
0.0,100,28.224701,0.12
-1.0,100,28.275179,0.13
-3.0,100,28.338892,0.19
0.0,100,28.389472,0.2
-2.0,100,28.438756,0.14
-1.0,100,28.488777,0.17
0.0,100,28.539382,0.12
-1.0,100,28.593268,0.14
-1.0,100,28.642733,0.2
0.0,100,28.692555,0.14
0.0,100,28.743616,0.19
0.0,100,29.36855,0.13
0.0,100,29.419958,0.19
0.0,100,29.471156,0.15
-2.0,100,29.523598,0.05
-3.0,100,29.572913,0.15
0.0,100,29.622308,0.22
0.0,100,29.674182,0.11
0.0,100,29.725485,0.16
0.0,100,29.775562,0.18
0.0,100,29.826776,0.14
-1.0,100,29.878011,0.11
0.0,100,29.92987,0.1
0.0,100,29.979885,0.15
0.0,100,30.030168,0.16
-1.0,100,30.080886,0.14
0.0,100,30.130236,0.16
-2.0,100,30.180712,0.17
0.0,100,30.231863,0.17
-1.0,100,30.281846,0.14
0.0,100,30.332549,0.12
-1.0,100,30.929457,0.21
0.0,100,30.982698,0.17
0.0,100,31.03511,0.17
0.0,100,31.0862,0.18
-1.0,100,31.137859,0.12
-1.0,100,31.18755,0.18
0.0,100,31.239645,0.16
-1.0,100,31.290184,0.09
0.0,100,31.340314,0.14
0.0,100,31.39341,0.06
0.0,100,31.444113,0.18
0.0,100,31.494077,0.15
-1.0,100,31.546396,0.2
0.0,100,31.596838,0.15
0.0,100,31.645934,0.13
0.0,100,31.697625,0.17
0.0,100,31.748964,0.25
0.0,100,31.799274,0.26
0.0,100,31.848788,0.18
0.0,100,31.898756,0.15
0.0,100,31.949286,0.13
-1.0,100,32.569746,0.18
-1.0,100,32.621409,0.12
0.0,100,32.672842,0.15
0.0,100,32.724423,0.1
0.0,100,32.77679,0.07
0.0,100,32.829371,0.13
0.0,100,32.879344,0.12
0.0,100,32.930799,0.11
0.0,100,32.983389,0.2
-1.0,100,33.032748,0.16
0.0,100,33.084939,0.22
0.0,100,33.134602,0.17
0.0,100,33.184068,0.2
-1.0,100,33.236689,0.09
0.0,100,33.287052,0.18
0.0,100,33.338546,0.18
-1.0,100,33.389199,0.11
0.0,100,33.438442,0.19
0.0,100,33.487979,0.15
0.0,100,33.536815,0.15
0.0,100,34.191302,0.19
-1.0,100,34.243711,0.23
0.0,100,34.295822,0.17
0.0,100,34.347341,0.17
-1.0,100,34.400186,0.06
0.0,100,34.451689,0.13
0.0,100,34.503039,0.13
0.0,100,34.555412,0.22
0.0,100,34.605039,0.13
0.0,100,34.656468,0.12
0.0,100,34.706411,0.16
0.0,100,34.756106,0.18
0.0,100,34.8052,0.12
0.0,100,34.854234,0.17
0.0,100,34.903933,0.15
0.0,100,34.955739,0.16
0.0,100,35.006807,0.2
0.0,100,35.057686,0.17
0.0,100,35.108916,0.14
0.0,100,35.159105,0.1
0.0,100,35.210407,0.19
-1.0,100,35.830628,0.17
0.0,100,35.883907,0.18
-1.0,100,35.935203,0.25
0.0,100,35.986433,0.13
0.0,100,36.036411,0.16
-1.0,100,36.086466,0.09
0.0,100,36.135577,0.13
0.0,100,36.185923,0.12
0.0,100,36.234492,0.2
0.0,100,36.286285,0.19
-1.0,100,36.336254,0.12
-1.0,100,36.38619,0.07
0.0,100,36.435134,0.16
0.0,100,36.484204,0.07
0.0,100,36.534198,0.28
-1.0,100,36.584194,0.16
0.0,100,36.643159,0.18
0.0,100,36.741088,0.17
0.0,100,36.800732,0.19
-1.0,100,36.861528,0.18
0.0,100,37.647024,0.18
-1.0,100,37.697944,0.18
0.0,100,37.750506,0.16
0.0,100,37.802076,0.15
0.0,100,37.854116,0.15
-1.0,100,37.906436,0.17
-2.0,100,37.960528,0.15
0.0,100,38.011886,0.11
0.0,100,38.061244,0.21
0.0,100,38.109917,0.19
0.0,100,38.159646,0.22
-1.0,100,38.20887,0.04
-1.0,100,38.25778,0.17
0.0,100,38.306626,0.21
0.0,100,38.356938,0.16
0.0,100,38.40658,0.29
0.0,100,38.456151,0.15
0.0,100,38.505609,0.12
-1.0,100,38.554533,0.13
0.0,100,38.603067,0.16
0.0,100,38.651392,0.28
0.0,100,39.288953,0.25
0.0,100,39.345772,0.11
0.0,100,39.40147,0.22
-1.0,100,39.452875,0.21
-2.0,100,39.502536,0.06
0.0,100,39.552111,0.13
0.0,100,39.601233,0.14
-1.0,100,39.649928,0.18
0.0,100,39.698606,0.23
0.0,100,39.770353,0.16
0.0,100,39.822087,0.24
-1.0,100,39.872247,0.2
0.0,100,39.925187,0.14
0.0,100,39.975808,0.18
0.0,100,40.031848,0.17
0.0,100,40.091534,0.13
-1.0,100,40.145612,0.06
0.0,100,40.205264,0.22
0.0,100,40.25883,0.2
-1.0,100,40.312008,0.17
0.0,100,40.965987,0.19
0.0,100,41.018742,0.16
0.0,100,41.070159,0.21
0.0,100,41.130355,0.15
0.0,100,41.19304,0.22
0.0,100,41.2481,0.1
-1.0,100,41.301553,0.2
0.0,100,41.357066,0.14
0.0,100,41.415322,0.13
0.0,100,41.471295,0.19
0.0,100,41.5375,0.21
0.0,100,41.601104,0.25
0.0,100,41.657175,0.18
0.0,100,41.71141,0.21
0.0,100,41.763918,0.26
0.0,100,41.866306,0.16
0.0,100,41.919842,0.15
0.0,100,41.973529,0.12
0.0,100,42.031022,0.25
0.0,100,42.085265,0.12
0.0,100,42.143749,0.11
0.0,100,42.835348,0.07
0.0,100,42.8888,0.14
0.0,100,42.943591,0.09
0.0,100,42.997234,0.18
0.0,100,43.047843,0.21
0.0,100,43.098585,0.23
0.0,100,43.14826,0.15
0.0,100,43.207416,0.2
0.0,100,43.262795,0.13
0.0,100,43.318667,0.22
0.0,100,43.371545,0.21
0.0,100,43.424633,0.2
0.0,100,43.476608,0.26
0.0,100,43.526763,0.21
0.0,100,43.579099,0.19
0.0,100,43.639241,0.14
-1.0,100,43.69859,0.17
0.0,100,43.752771,0.14
0.0,100,43.812099,0.15
0.0,100,43.866743,0.22
0.0,100,44.527159,0.15
0.0,100,44.584967,0.23
0.0,100,44.636425,0.22
0.0,100,44.688129,0.19
-1.0,100,44.738487,0.14
0.0,100,44.787335,0.22
0.0,100,44.836457,0.12
-1.0,100,44.885536,0.17
-1.0,100,44.953839,0.15
0.0,100,45.003253,0.19
-1.0,100,45.051887,0.22
-2.0,100,45.10195,0.13
0.0,100,45.153267,0.18
0.0,100,45.202536,0.22
-1.0,100,45.251479,0.1
0.0,100,45.301234,0.16
0.0,100,45.350316,0.14
0.0,100,45.405552,0.18
0.0,100,45.464093,0.16
0.0,100,45.522558,0.18
0.0,100,46.189657,0.17
-1.0,100,46.242739,0.16
0.0,100,46.294466,0.22
-1.0,100,46.354758,0.14
0.0,100,46.406164,0.21
0.0,100,46.456013,0.21
0.0,100,46.505645,0.08
0.0,100,46.554571,0.17
0.0,100,46.604026,0.14
-1.0,100,46.65366,0.14
0.0,100,46.702505,0.16
0.0,100,46.751106,0.18
-1.0,100,46.807007,0.18
0.0,100,46.86577,0.12
0.0,100,46.919883,0.14
0.0,100,46.971093,0.13
0.0,100,47.032945,0.24
0.0,100,47.095362,0.22
0.0,100,47.146425,0.24
0.0,100,47.196927,0.19
0.0,100,47.246787,0.15
0.0,100,47.96637,0.21
-1.0,100,48.018413,0.18
0.0,100,48.069516,0.12
0.0,100,48.120108,0.19
0.0,100,48.169737,0.15
0.0,100,48.219601,0.17
0.0,100,48.268033,0.26
-1.0,100,48.320741,0.14
0.0,100,48.373565,0.16
0.0,100,48.427218,0.11
0.0,100,48.482081,0.23
0.0,100,48.537822,0.19
0.0,100,48.596579,0.21
0.0,100,48.655771,0.15
0.0,100,48.717071,0.09
0.0,100,48.772879,0.26
0.0,100,48.827748,0.13
-1.0,100,48.884551,0.13
0.0,100,48.942655,0.19
0.0,100,48.99641,0.1
0.0,100,49.761564,0.2
0.0,100,49.814908,0.26
0.0,100,49.874362,0.12
0.0,100,49.968336,0.21
0.0,100,50.032588,0.16
0.0,100,50.092764,0.1
-1.0,100,50.147344,0.17
0.0,100,50.205497,0.19
0.0,100,50.266373,0.11
0.0,100,50.323732,0.16
0.0,100,50.378983,0.23
0.0,100,50.431838,0.24
0.0,100,50.488435,0.25
0.0,100,50.547075,0.17
0.0,100,50.602804,0.13
0.0,100,50.6584,0.18
-1.0,100,50.714836,0.1
0.0,100,50.769818,0.2
0.0,100,50.823448,0.21
0.0,100,50.875414,0.2
0.0,100,50.935147,0.16
0.0,100,51.546553,0.09
0.0,100,51.597673,0.17
0.0,100,51.649528,0.12
0.0,100,51.699815,0.22
0.0,100,51.758637,0.25
0.0,100,51.819322,0.15
-1.0,100,51.876415,0.23
0.0,100,51.931153,0.16
0.0,100,51.986499,0.23
0.0,100,52.045987,0.23
0.0,100,52.10165,0.27
0.0,100,52.159672,0.21
0.0,100,52.229197,0.23
0.0,100,52.288814,0.13
0.0,100,52.34353,0.15
0.0,100,52.398227,0.2
0.0,100,52.45102,0.19
0.0,100,52.509454,0.2
0.0,100,52.561835,0.22
0.0,100,52.618304,0.19
0.0,100,53.289802,0.1
0.0,100,53.345597,0.19
-1.0,100,53.398834,0.23
0.0,100,53.456589,0.19
0.0,100,53.512818,0.16
-3.0,100,53.564925,0.14
0.0,100,53.619423,0.15
0.0,100,53.67544,0.19
0.0,100,53.740426,0.27
-1.0,100,53.799282,0.18
0.0,100,53.854266,0.22
0.0,100,53.913374,0.15
0.0,100,53.973058,0.16
0.0,100,54.031389,0.16
0.0,100,54.085451,0.14
0.0,100,54.144111,0.23
0.0,100,54.198279,0.16
0.0,100,54.251839,0.18
-2.0,100,54.307519,0.2
0.0,100,54.3636,0.16
0.0,100,54.416462,0.2
0.0,100,55.316482,0.16
-1.0,100,55.369281,0.21
-1.0,100,55.420283,0.23
0.0,100,55.471383,0.24
0.0,100,55.521815,0.17
0.0,100,55.582814,0.14
0.0,100,55.636391,0.21
0.0,100,55.689281,0.25
0.0,100,55.74183,0.21
0.0,100,55.793739,0.14
-1.0,100,55.843412,0.11
-1.0,100,55.89354,0.2
0.0,100,55.952842,0.18
0.0,100,56.008771,0.13
0.0,100,56.069841,0.29
0.0,100,56.126623,0.28
-1.0,100,56.190164,0.23
0.0,100,56.251515,0.14
0.0,100,56.385808,0.17
0.0,100,56.513576,0.21
0.0,100,57.661017,0.2
-1.0,100,57.715509,0.16
0.0,100,57.772326,0.17
0.0,100,57.826813,0.15
0.0,100,57.883592,0.19
0.0,100,57.945542,0.21
-1.0,100,58.003003,0.15
0.0,100,58.05551,0.25
-1.0,100,58.11116,0.19
0.0,100,58.161614,0.15
0.0,100,58.211118,0.17
0.0,100,58.269874,0.18
0.0,100,58.321735,0.2
0.0,100,58.377463,0.28
0.0,100,58.434051,0.2
0.0,100,58.497377,0.17
0.0,100,58.548731,0.12
0.0,100,58.600554,0.26
0.0,100,58.669013,0.15
0.0,100,58.719434,0.23
-1.0,100,58.76904,0.17
0.0,100,59.679711,0.12
0.0,100,59.733076,0.18
0.0,100,59.824911,0.15
0.0,100,59.875784,0.22
0.0,100,59.925726,0.18
0.0,100,59.979307,0.2
0.0,100,60.0806,0.12
0.0,100,60.136472,0.14
0.0,100,60.189077,0.18
0.0,100,60.241023,0.24
0.0,100,60.290667,0.26
0.0,100,60.361866,0.19
0.0,100,60.430571,0.14
0.0,100,60.480363,0.21
-1.0,100,60.529424,0.27
0.0,100,60.579828,0.13
0.0,100,60.63287,0.18
0.0,100,60.729196,0.18
0.0,100,60.78474,0.18
0.0,100,60.838839,0.15
0.0,100,61.646614,0.11
0.0,100,61.697891,0.17
0.0,100,61.750294,0.16
0.0,100,61.800909,0.18
-1.0,100,61.854072,0.16
0.0,100,61.906289,0.16
-1.0,100,61.958355,0.11
0.0,100,62.011118,0.19
0.0,100,62.064477,0.14
0.0,100,62.170647,0.2
0.0,100,62.269405,0.17
0.0,100,62.365199,0.23
0.0,100,62.418117,0.16
0.0,100,62.4719,0.17
0.0,100,62.566571,0.15
0.0,100,62.621465,0.2
0.0,100,62.674041,0.15
0.0,100,62.767785,0.18
0.0,100,62.820632,0.2
0.0,100,62.87094,0.23
0.0,100,62.920284,0.18
-1.0,100,63.773078,0.12
0.0,100,63.825576,0.23
0.0,100,63.877391,0.21
0.0,100,63.929469,0.13
0.0,100,63.980268,0.22
0.0,100,64.02972,0.18
0.0,100,64.078902,0.16
-1.0,100,64.130538,0.23
0.0,100,64.180182,0.23
0.0,100,64.250735,0.17
0.0,100,64.320166,0.17
0.0,100,64.413764,0.14
0.0,100,64.464262,0.19
0.0,100,64.519299,0.11
0.0,100,64.573573,0.19
-1.0,100,64.626934,0.15
0.0,100,64.721041,0.18
0.0,100,64.772941,0.2
0.0,100,64.827919,0.17
0.0,100,64.918663,0.22
0.0,100,65.746568,0.24
0.0,100,65.837057,0.19
0.0,100,65.890236,0.23
0.0,100,65.942523,0.15
0.0,100,66.036655,0.16
-1.0,100,66.088188,0.2
0.0,100,66.15381,0.17
0.0,100,66.214503,0.11
0.0,100,66.308505,0.15
0.0,100,66.360779,0.12
0.0,100,66.412507,0.25
0.0,100,66.502755,0.21
0.0,100,66.55466,0.21
0.0,100,66.611098,0.21
0.0,100,66.708745,0.19
0.0,100,66.766098,0.17
0.0,100,66.820356,0.16
0.0,100,66.872931,0.11
0.0,100,66.928556,0.19
0.0,100,66.980597,0.14
0.0,100,67.079436,0.11
0.0,100,67.903203,0.18
0.0,100,67.994963,0.15
-1.0,100,68.050581,0.17
0.0,100,68.110201,0.18
-2.0,100,68.162488,0.17
0.0,100,68.259472,0.14
0.0,100,68.310186,0.14
0.0,100,68.36083,0.24
-1.0,100,68.45826,0.15
0.0,100,68.511993,0.19
0.0,100,68.566245,0.14
0.0,100,68.665868,0.16
0.0,100,68.723182,0.14
0.0,100,68.77624,0.15
-1.0,100,68.867859,0.31
0.0,100,68.92738,0.17
-1.0,100,68.981774,0.11
-2.0,100,69.035488,0.17
0.0,100,69.089265,0.15
0.0,100,69.183191,0.14
0.0,100,70.083456,0.22
0.0,100,70.137108,0.18
0.0,100,70.191006,0.2
0.0,100,70.243066,0.13
-1.0,100,70.29342,0.16
0.0,100,70.34311,0.14
-1.0,100,70.394706,0.16
0.0,100,70.444804,0.13
0.0,100,70.538864,0.08
0.0,100,70.59422,0.13
0.0,100,70.649824,0.11
0.0,100,70.751982,0.19
0.0,100,70.807567,0.14
-1.0,100,70.86108,0.16
0.0,100,70.955477,0.16
0.0,100,71.008583,0.15
0.0,100,71.058904,0.23
-2.0,100,71.113532,0.26
0.0,100,71.168346,0.2
0.0,100,71.269774,0.13
0.0,100,71.324277,0.18
-1.0,100,72.271782,0.24
0.0,100,72.34129,0.2
0.0,100,72.417136,0.2
0.0,100,72.467796,0.29
0.0,100,72.519502,0.19
0.0,100,72.571788,0.16
0.0,100,72.667091,0.16
0.0,100,72.719033,0.18
0.0,100,72.7699,0.14
-1.0,100,72.848897,0.14
0.0,100,72.921884,0.18
0.0,100,72.974136,0.13
0.0,100,73.068782,0.13
-1.0,100,73.125143,0.27
0.0,100,73.180647,0.17
0.0,100,73.275976,0.13
0.0,100,73.327411,0.13
0.0,100,73.377242,0.16
0.0,100,73.427349,0.11
0.0,100,73.477183,0.24
0.0,100,74.499812,0.24
0.0,100,74.551977,0.2
0.0,100,74.603893,0.11
0.0,100,74.658642,0.16
0.0,100,74.712171,0.13
0.0,100,74.764858,0.22
0.0,100,74.816152,0.16
0.0,100,74.86758,0.18
0.0,100,74.920345,0.18
0.0,100,74.973089,0.11
0.0,100,75.025912,0.19
0.0,100,75.078982,0.19
0.0,100,75.129151,0.14
0.0,100,75.183272,0.15
-1.0,100,75.235004,0.15
0.0,100,75.287289,0.05
0.0,100,75.337024,0.1
0.0,100,75.38853,0.13
0.0,100,75.443136,0.11
0.0,100,75.498863,0.2
0.0,100,75.553578,0.13
0.0,100,76.378708,0.13
0.0,100,76.433935,0.11
0.0,100,76.48654,0.2
0.0,100,76.541808,0.16
0.0,100,76.602796,0.24
0.0,100,76.663257,0.17
0.0,100,76.724699,0.2
0.0,100,76.792495,0.16
0.0,100,76.85625,0.2
0.0,100,76.922278,0.17
0.0,100,76.98336,0.07
0.0,100,77.044406,0.17
0.0,100,77.104837,0.14
-2.0,100,77.167781,0.14
0.0,100,77.228174,0.12
0.0,100,77.28816,0.19
0.0,100,77.344311,0.1
0.0,100,77.421593,0.13
0.0,100,77.478981,0.24
0.0,100,77.532889,0.2
0.0,100,78.27247,0.07
0.0,100,78.32733,0.15
0.0,100,78.380974,0.09
0.0,100,78.436906,0.13
-1.0,100,78.494025,0.15
0.0,100,78.551734,0.07
0.0,100,78.607973,0.23
0.0,100,78.66463,0.12
0.0,100,78.718854,0.2
0.0,100,78.770721,0.19
0.0,100,78.825041,0.12
0.0,100,78.882908,0.2
0.0,100,78.939163,0.18
0.0,100,78.992233,0.14
-1.0,100,79.044291,0.29
0.0,100,79.096949,0.11
-1.0,100,79.151014,0.09
0.0,100,79.206107,0.14
0.0,100,79.257849,0.2
0.0,100,79.308976,0.12
0.0,100,79.359897,0.11
0.0,100,80.034035,0.1
