#{"t_start": 1737036539.011619, "env_id": "None"}
r,l,t
-385.6,100,38.476329
-235.4,100,38.538234
-174.9,100,38.600512
-354.7,100,38.660618
-186.9,100,38.719756
-386.0,100,38.778243
-487.1,100,38.835321
-274.3,100,38.894642
-486.8,100,38.951614
-243.4,100,39.561943
-390.0,100,39.626272
-272.3,100,39.687879
-275.1,100,39.747843
-118.9,100,39.807643
-478.5,100,39.865152
-311.1,100,39.923703
-196.1,100,39.982802
-286.9,100,40.044757
-211.5,100,40.107035
-439.6,100,40.166433
-287.1,100,40.224392
-285.8,100,40.283738
-283.6,100,40.343899
-289.5,100,40.406835
-428.0,100,40.468309
-107.2,100,40.530996
-361.9,100,40.590688
-181.7,100,40.652123
-177.3,100,40.71209
-197.7,100,40.771089
-126.6,100,41.402948
-301.1,100,41.465227
-324.5,100,41.52668
-233.5,100,41.588658
-287.4,100,41.651244
-445.4,100,41.710026
-325.0,100,41.769863
-357.7,100,41.828904
-273.7,100,41.887744
-180.6,100,41.946745
-251.2,100,42.007816
-233.0,100,42.068914
-271.3,100,42.131883
-337.4,100,42.193978
-263.9,100,42.256023
-236.1,100,42.315698
-278.0,100,42.375748
-398.8,100,42.433576
-203.4,100,42.492988
-476.0,100,42.552153
-242.2,100,43.193932
-484.6,100,43.25435
-186.4,100,43.315948
-208.7,100,43.377151
-240.9,100,43.43574
-232.3,100,43.495493
-137.9,100,43.55787
-314.2,100,43.619382
-324.9,100,43.679653
-358.0,100,43.739062
-278.6,100,43.798769
-247.0,100,43.857402
-416.7,100,43.915988
-139.8,100,43.979078
-260.2,100,44.041298
-485.1,100,44.102139
-262.1,100,44.163586
-429.5,100,44.222295
-200.6,100,44.281743
-355.2,100,44.339774
-294.5,100,44.397789
-274.4,100,44.999749
-247.4,100,45.061983
-132.6,100,45.126847
-220.1,100,45.18726
-297.7,100,45.246148
-252.7,100,45.304764
-355.3,100,45.362798
-383.5,100,45.421045
-300.9,100,45.479024
-246.4,100,45.53844
-208.0,100,45.598348
-296.1,100,45.661246
-281.1,100,45.721778
-197.3,100,45.782393
-283.6,100,45.844486
-390.9,100,45.904569
-139.6,100,45.9642
-279.6,100,46.024223
-331.8,100,46.083623
-373.6,100,46.146036
-282.7,100,46.732338
-352.2,100,46.793468
-343.8,100,46.856999
-258.4,100,46.9204
-240.9,100,46.99545
-393.8,100,47.061022
-326.3,100,47.126295
-326.3,100,47.193125
-270.9,100,47.256989
-192.6,100,47.320165
-198.9,100,47.384356
-407.3,100,47.445339
-340.3,100,47.509632
-255.3,100,47.575075
-186.6,100,47.643899
-361.9,100,47.706658
-177.0,100,47.768257
-242.8,100,47.831624
-471.5,100,47.89249
-256.6,100,47.953603
-228.6,100,48.604456
-326.7,100,48.674749
-213.4,100,48.743803
-397.3,100,48.80921
-124.9,100,48.874493
-223.3,100,48.94412
-198.2,100,49.01087
-212.4,100,49.079337
-330.0,100,49.152477
-397.7,100,49.2178
-221.4,100,49.28804
-186.2,100,49.358286
-210.0,100,49.429778
-265.8,100,49.498841
-317.1,100,49.56482
-393.0,100,49.629774
-180.9,100,49.694692
-244.0,100,49.75896
-270.3,100,49.824002
-160.7,100,49.888141
-249.7,100,49.948092
-144.1,100,50.589647
-295.2,100,50.653484
-515.6,100,50.713877
-354.5,100,50.774793
-114.4,100,50.835682
-229.0,100,50.89582
-224.8,100,50.956271
-408.8,100,51.014501
-164.0,100,51.075473
-136.9,100,51.140595
-235.4,100,51.202009
-155.9,100,51.262809
-264.3,100,51.32272
-211.7,100,51.38638
-216.1,100,51.448651
-298.6,100,51.508881
-263.7,100,51.568433
-377.3,100,51.631258
-369.4,100,51.693357
-247.7,100,51.755686
-523.6,100,52.563524
-297.8,100,52.629894
-334.5,100,52.692892
-179.7,100,52.755626
-288.8,100,52.818652
-305.7,100,52.882259
-230.4,100,52.945275
-349.4,100,53.008021
-440.4,100,53.070283
-335.6,100,53.134776
-171.0,100,53.197348
-274.0,100,53.26
-380.3,100,53.321434
-335.1,100,53.382951
-312.1,100,53.446167
-325.6,100,53.507939
-298.8,100,53.570621
-424.1,100,53.634161
-168.7,100,53.698173
-283.4,100,53.76195
-291.7,100,53.820929
-292.2,100,54.424761
-323.8,100,54.488304
-301.4,100,54.549751
-256.3,100,54.610807
-191.3,100,54.674865
-255.0,100,54.733993
-278.4,100,54.793595
-170.7,100,54.85319
-334.4,100,54.911124
-226.1,100,54.969841
-237.9,100,55.028737
-295.2,100,55.087457
-203.9,100,55.15013
-348.6,100,55.213247
-253.1,100,55.276345
-197.5,100,55.338945
-238.2,100,55.399384
-263.4,100,55.46079
-351.4,100,55.525658
-381.9,100,55.587471
-258.8,100,56.328059
-203.0,100,56.391045
-245.4,100,56.458555
-310.3,100,56.530769
-229.0,100,56.596104
-325.7,100,56.659759
-200.4,100,56.72659
-172.2,100,56.789116
-454.2,100,56.84699
-136.5,100,56.906482
-155.0,100,56.966047
-249.9,100,57.028093
-361.5,100,57.089888
-330.0,100,57.151365
-203.1,100,57.211044
-319.2,100,57.270418
-232.9,100,57.329872
-299.9,100,57.389605
-315.4,100,57.448532
-218.7,100,57.510175
-221.9,100,57.570445
-365.7,100,58.319332
-300.5,100,58.380641
-160.2,100,58.443274
-171.3,100,58.504858
-148.7,100,58.571061
-253.7,100,58.634593
-224.6,100,58.695894
-191.5,100,58.757955
-212.6,100,58.817894
-156.8,100,58.880583
-216.4,100,58.943917
-177.7,100,59.007733
-201.1,100,59.071246
-263.6,100,59.132153
-281.5,100,59.193937
-346.5,100,59.255741
-316.0,100,59.317899
-147.5,100,59.379053
-287.2,100,59.43875
-168.7,100,59.501426
-158.2,100,60.193595
-425.4,100,60.254337
-375.8,100,60.317247
-274.3,100,60.378939
-278.3,100,60.440218
-229.3,100,60.499764
-238.5,100,60.559277
-295.5,100,60.620002
-166.3,100,60.680588
-225.8,100,60.742719
-131.1,100,60.80416
-258.1,100,60.864197
-192.0,100,60.926201
-181.7,100,60.98854
-520.5,100,61.048416
-97.2,100,61.108124
-255.5,100,61.170083
-194.9,100,61.230533
-142.9,100,61.290819
-282.8,100,61.351778
-321.9,100,61.410586
-185.5,100,61.993457
-286.8,100,62.054684
-310.5,100,62.115808
-361.4,100,62.177307
-153.6,100,62.237065
-373.7,100,62.296473
-211.2,100,62.357409
-234.4,100,62.418522
-274.4,100,62.477535
-303.4,100,62.53785
-250.3,100,62.600524
-305.6,100,62.666217
-193.8,100,62.729139
-207.9,100,62.791714
-268.2,100,62.856936
-195.5,100,62.920292
-202.3,100,62.982183
-178.7,100,63.042574
-205.4,100,63.101325
-237.6,100,63.160162
-116.2,100,63.764923
-203.9,100,63.826851
-185.7,100,63.890248
-228.6,100,63.953301
-261.3,100,64.012317
-232.7,100,64.072064
-303.7,100,64.130554
-155.3,100,64.190487
-156.2,100,64.249369
-385.8,100,64.307884
-251.9,100,64.366999
-175.5,100,64.426904
-280.4,100,64.48809
-254.3,100,64.548609
-221.1,100,64.611736
-299.4,100,64.673268
-204.1,100,64.736418
-307.9,100,64.795965
-421.4,100,64.854062
-171.6,100,64.913587
-282.1,100,64.974766
-172.5,100,65.555881
-220.1,100,65.619382
-294.0,100,65.681064
-361.0,100,65.74225
-249.3,100,65.803242
-323.1,100,65.861473
-294.1,100,65.921973
-306.2,100,65.98391
-203.4,100,66.045655
-164.0,100,66.107941
-184.7,100,66.169607
-355.9,100,66.230633
-149.3,100,66.291113
-293.6,100,66.353663
-272.9,100,66.417017
-169.4,100,66.480914
-107.4,100,66.541161
-195.6,100,66.603028
-250.2,100,66.663643
-213.1,100,66.722888
-402.1,100,67.318007
-193.7,100,67.380108
-207.2,100,67.442364
