#{"t_start": 1737119876.4553668, "env_id": "None"}
r,l,t,invalid_share
-335.4,100,29.471227,0.03
-276.5,100,29.53276,0.06
-260.6,100,30.197309,0.09
-323.3,100,30.260404,0.01
-293.8,100,30.324763,0.04
-495.4,100,30.386806,0.06
-448.8,100,30.450302,0.12
-189.3,100,30.515433,0.02
-252.4,100,30.576597,0.05
-373.0,100,30.636826,0.04
-263.2,100,30.70138,0.05
-459.7,100,30.762236,0.07
-616.1,100,30.822602,0.03
-247.7,100,30.886905,0.02
-281.2,100,30.951929,0.07
-336.1,100,31.014645,0.05
-277.3,100,31.075155,0.04
-450.5,100,31.135177,0.09
-238.2,100,31.199818,0.07
-310.6,100,31.261573,0.06
-269.8,100,31.323531,0.04
-331.9,100,31.386654,0.1
-391.2,100,31.449755,0.04
-344.9,100,32.093685,0.04
-284.2,100,32.157482,0.03
-332.1,100,32.220297,0.01
-524.8,100,32.280482,0.02
-387.5,100,32.344912,0.04
-500.6,100,32.40671,0.01
-280.0,100,32.468118,0.06
-297.8,100,32.531572,0.06
-346.7,100,32.596293,0.04
-245.1,100,32.658779,0.03
-411.5,100,32.719293,0.04
-340.5,100,32.78001,0.06
-351.5,100,32.844414,0.03
-254.5,100,32.907351,0.02
-359.8,100,32.967529,0.07
-368.9,100,33.029497,0.05
-432.6,100,33.093336,0.03
-296.6,100,33.154817,0.1
-257.0,100,33.215836,0.04
-340.6,100,33.276897,0.02
-333.9,100,33.928896,0.05
-288.6,100,33.993617,0.03
-257.6,100,34.057968,0.01
-353.3,100,34.121527,0.03
-446.4,100,34.185797,0.06
-414.5,100,34.247038,0.05
-372.0,100,34.307101,0.02
-380.5,100,34.371142,0.06
-312.6,100,34.435533,0.04
-387.4,100,34.497808,0.04
-286.5,100,34.560353,0.02
-288.3,100,34.620492,0.03
-340.6,100,34.683245,0.07
-262.0,100,34.746368,0.02
-305.0,100,34.807247,0.03
-340.4,100,34.871832,0.07
-263.2,100,34.936203,0.04
-325.4,100,34.998418,0.05
-256.0,100,35.06092,0.03
-240.4,100,35.121746,0.04
-357.1,100,35.186168,0.05
-226.6,100,35.831686,0.03
-357.5,100,35.896035,0.05
-361.2,100,35.958933,0.02
-335.4,100,36.020227,0.05
-383.1,100,36.084332,0.05
-331.6,100,36.14805,0.02
-350.9,100,36.209329,0.04
-273.3,100,36.270417,0.04
-387.8,100,36.33463,0.04
-297.6,100,36.397467,0.04
-215.2,100,36.459125,0.03
-243.8,100,36.52227,0.02
-254.5,100,36.587853,0.05
-331.9,100,36.649671,0.05
-313.1,100,36.712088,0.03
