env_steps,critic_loss,q1,q2,actor_loss,entropy,coef,critic_grad_norm,critic_seq_grad_norm,actor_grad_norm,actor_seq_grad_norm,return,success,length,FPS
308,0.04,0.1736,0.1737,-0.6331,3.2826,0.1,0.0882,0.0302,0.0046,0.0005,,,,
308,,,,,,,,,,,0.0,0.0,11.0,60.118
319,0.0366,0.1807,0.1807,-0.6369,3.2904,0.1,0.0903,0.0346,0.0037,0.0003,,,,
319,,,,,,,,,,,-0.74,0.0,11.0,59.5129
330,0.04,0.1945,0.1944,-0.6404,3.2934,0.1,0.0907,0.0382,0.0034,0.0003,,,,
330,,,,,,,,,,,-0.68,0.0,11.0,63.7737
341,0.0401,0.2045,0.2042,-0.6429,3.2925,0.1,0.0912,0.0425,0.0035,0.0004,,,,
341,,,,,,,,,,,-1.09,0.0,11.0,61.0538
352,0.0481,0.222,0.2219,-0.6437,3.2932,0.1,0.0966,0.0494,0.0039,0.0004,,,,
352,,,,,,,,,,,-0.93,0.0,11.0,62.8978
363,0.053,0.1878,0.1877,-0.6432,3.2932,0.1,0.0986,0.0567,0.004,0.0005,,,,
363,,,,,,,,,,,-1.02,0.0,11.0,60.1004
374,0.0488,0.211,0.2108,-0.6435,3.2949,0.1,0.1026,0.0669,0.0043,0.0005,,,,
374,,,,,,,,,,,-0.9,0.0,11.0,62.3254
385,0.0494,0.2089,0.2088,-0.6465,3.2956,0.1,0.109,0.0799,0.0041,0.0004,,,,
385,,,,,,,,,,,0.0,0.0,11.0,59.8878
396,0.042,0.2397,0.2395,-0.649,3.2952,0.1,0.1152,0.0932,0.0037,0.0004,,,,
396,,,,,,,,,,,0.0,0.0,11.0,62.1495
407,0.0536,0.2018,0.2017,-0.6496,3.2953,0.1,0.1298,0.1171,0.0031,0.0005,,,,
407,,,,,,,,,,,-0.82,0.0,11.0,59.7389
418,0.052,0.2329,0.2327,-0.6497,3.2982,0.1,0.1449,0.1435,0.003,0.0006,,,,
418,,,,,,,,,,,-0.89,0.0,11.0,63.8106
429,0.0502,0.2249,0.2247,-0.6557,3.3045,0.1,0.1608,0.1732,0.0032,0.0005,,,,
429,,,,,,,,,,,-0.81,0.0,11.0,59.7359
440,0.0393,0.2738,0.2736,-0.6683,3.3145,0.1,0.1681,0.1906,0.0033,0.0005,,,,
440,,,,,,,,,,,-0.97,0.0,11.0,64.7719
451,0.0466,0.246,0.2458,-0.6757,3.3243,0.1,0.1849,0.2222,0.0034,0.0005,,,,
451,,,,,,,,,,,-0.83,0.0,11.0,60.924
462,0.0417,0.251,0.2507,-0.6762,3.3316,0.1,0.2162,0.2777,0.0035,0.0005,,,,
462,,,,,,,,,,,-0.8,0.0,11.0,60.3259
473,0.0365,0.2735,0.2733,-0.688,3.3395,0.1,0.21,0.2702,0.0037,0.0005,,,,
473,,,,,,,,,,,-0.66,0.0,11.0,59.5909
484,0.0368,0.2793,0.2794,-0.6847,3.3483,0.1,0.2305,0.3084,0.0039,0.0006,,,,
484,,,,,,,,,,,-0.83,0.0,11.0,62.1627
495,0.034,0.2588,0.2589,-0.688,3.3581,0.1,0.2536,0.348,0.0035,0.0004,,,,
495,,,,,,,,,,,-0.72,0.0,11.0,60.8284
506,0.039,0.2862,0.2865,-0.6955,3.3677,0.1,0.2228,0.2996,0.0031,0.0004,,,,
506,,,,,,,,,,,-0.76,0.0,11.0,63.2892
517,0.035,0.2683,0.268,-0.6794,3.3759,0.1,0.2838,0.4053,0.0029,0.0004,,,,
517,,,,,,,,,,,-0.79,0.0,11.0,59.4678
528,0.0384,0.2925,0.2923,-0.7054,3.3858,0.1,0.2267,0.3104,0.0036,0.0006,,,,
528,,,,,,,,,,,0.0,0.0,11.0,63.1408
539,0.0448,0.3019,0.3015,-0.6942,3.3949,0.1,0.2635,0.3835,0.0037,0.0005,,,,
539,,,,,,,,,,,0.0,0.0,11.0,60.1938
550,0.0406,0.3026,0.3021,-0.7006,3.4039,0.1,0.2735,0.4042,0.0039,0.0007,,,,
550,,,,,,,,,,,-0.72,0.0,11.0,64.1086
561,0.0314,0.3209,0.3206,-0.7137,3.4081,0.1,0.2599,0.386,0.0032,0.0007,,,,
561,,,,,,,,,,,-0.82,0.0,11.0,61.5687
572,0.0382,0.3248,0.3242,-0.7113,3.4069,0.1,0.2877,0.4392,0.0023,0.0004,,,,
572,,,,,,,,,,,0.0,0.0,11.0,61.9914
583,0.0333,0.3238,0.3233,-0.7225,3.4022,0.1,0.2897,0.4508,0.0027,0.0005,,,,
583,,,,,,,,,,,0.0,0.0,11.0,58.6289
594,0.0392,0.3395,0.3389,-0.7236,3.4008,0.1,0.2749,0.4225,0.0037,0.001,,,,
594,,,,,,,,,,,-0.73,0.0,11.0,63.16
605,0.0374,0.3261,0.3254,-0.7271,3.4066,0.1,0.3006,0.4777,0.0036,0.001,,,,
605,,,,,,,,,,,-1.08,0.0,11.0,59.8953
616,0.0361,0.3219,0.3212,-0.7301,3.4178,0.1,0.3015,0.4864,0.003,0.0007,,,,
616,,,,,,,,,,,-0.98,0.0,11.0,59.8336
627,0.0375,0.3405,0.3395,-0.7315,3.43,0.1,0.3147,0.5146,0.0024,0.0004,,,,
627,,,,,,,,,,,-1.0,0.0,11.0,59.5023
638,0.0332,0.3416,0.3405,-0.7361,3.4403,0.1,0.3108,0.5096,0.0024,0.0002,,,,
638,,,,,,,,,,,-0.74,0.0,11.0,57.8582
649,0.0322,0.3442,0.3434,-0.746,3.4488,0.1,0.2902,0.4757,0.0028,0.0005,,,,
649,,,,,,,,,,,0.0,0.0,11.0,60.4481
660,0.0271,0.3361,0.3348,-0.7475,3.4534,0.1,0.326,0.5538,0.003,0.0005,,,,
660,,,,,,,,,,,0.0,0.0,11.0,64.3949
671,0.0264,0.3609,0.3595,-0.749,3.4573,0.1,0.3671,0.6442,0.0029,0.0006,,,,
671,,,,,,,,,,,0.0,0.0,11.0,59.2066
682,0.0283,0.3583,0.3569,-0.7539,3.4599,0.1,0.3485,0.6113,0.0027,0.0006,,,,
682,,,,,,,,,,,0.0,0.0,11.0,62.2185
693,0.0215,0.3555,0.3542,-0.7559,3.4627,0.1,0.334,0.5833,0.0026,0.0008,,,,
693,,,,,,,,,,,0.0,0.0,11.0,60.8105
704,0.0191,0.3595,0.3583,-0.7558,3.4633,0.1,0.4399,0.8181,0.0025,0.0008,,,,
704,,,,,,,,,,,-1.08,0.0,11.0,61.2251
715,0.0216,0.3711,0.3704,-0.754,3.4615,0.1,0.4185,0.7776,0.0023,0.0006,,,,
715,,,,,,,,,,,-0.99,0.0,11.0,60.7097
726,0.0161,0.3369,0.3366,-0.7669,3.4571,0.1,0.3471,0.6159,0.0031,0.0003,,,,
726,,,,,,,,,,,-0.66,0.0,11.0,64.6495
737,0.0207,0.3686,0.3683,-0.7457,3.4569,0.1,0.5048,0.9816,0.0026,0.0003,,,,
737,,,,,,,,,,,-0.7,0.0,11.0,59.8072
748,0.0157,0.3935,0.3934,-0.7692,3.4612,0.1,0.2606,0.4393,0.0021,0.0001,,,,
748,,,,,,,,,,,-0.8,0.0,11.0,63.3699
759,0.0165,0.3532,0.3525,-0.7611,3.4651,0.1,0.4561,0.873,0.0021,0.0001,,,,
759,,,,,,,,,,,-0.83,0.0,11.0,59.4819
770,0.0168,0.3861,0.386,-0.777,3.4679,0.1,0.3702,0.6857,0.0019,0.0004,,,,
770,,,,,,,,,,,-0.81,0.0,11.0,60.6345
781,0.0139,0.3839,0.3845,-0.7797,3.4697,0.1,0.372,0.6925,0.0023,0.0001,,,,
781,,,,,,,,,,,-0.77,0.0,11.0,60.9901
792,0.0143,0.3924,0.3928,-0.7711,3.4702,0.1,0.4293,0.8234,0.0019,0.0003,,,,
792,,,,,,,,,,,-0.88,0.0,11.0,63.226
803,0.0124,0.3964,0.3965,-0.7917,3.471,0.1,0.3634,0.6751,0.002,0.0001,,,,
803,,,,,,,,,,,-0.81,0.0,11.0,58.9865
814,0.0107,0.4083,0.4082,-0.7868,3.4728,0.1,0.3974,0.7638,0.0019,0.0003,,,,
814,,,,,,,,,,,-1.01,0.0,11.0,63.891
825,0.0124,0.3897,0.3901,-0.791,3.4728,0.1,0.3488,0.6543,0.0017,0.0001,,,,
825,,,,,,,,,,,-0.88,0.0,11.0,59.1242
836,0.0127,0.3956,0.3958,-0.7851,3.4712,0.1,0.4339,0.8574,0.002,0.0001,,,,
836,,,,,,,,,,,-0.83,0.0,11.0,60.9586
847,0.0113,0.4113,0.4111,-0.7991,3.4684,0.1,0.3152,0.577,0.0017,0.0001,,,,
847,,,,,,,,,,,-0.88,0.0,11.0,60.4209
858,0.012,0.3956,0.3956,-0.7947,3.4653,0.1,0.4132,0.8103,0.0021,0.0002,,,,
858,,,,,,,,,,,-0.95,0.0,11.0,62.9517
869,0.0108,0.4125,0.4124,-0.8018,3.4645,0.1,0.4071,0.7928,0.0019,0.0001,,,,
869,,,,,,,,,,,-0.82,0.0,11.0,60.268
880,0.0123,0.3958,0.3955,-0.8032,3.4651,0.1,0.4108,0.8089,0.0018,0.0001,,,,
880,,,,,,,,,,,-0.83,0.0,11.0,62.7013
891,0.0101,0.4341,0.4342,-0.8071,3.4652,0.1,0.377,0.7338,0.0014,0.0002,,,,
891,,,,,,,,,,,-0.96,0.0,11.0,60.0227
902,0.0144,0.4039,0.4039,-0.8149,3.4638,0.1,0.3118,0.5705,0.0019,0.0001,,,,
902,,,,,,,,,,,-1.12,0.0,11.0,63.2999
913,0.0124,0.4189,0.4191,-0.8062,3.4625,0.1,0.4905,1.0039,0.0019,0.0001,,,,
913,,,,,,,,,,,-0.75,0.0,11.0,60.1254
924,0.0118,0.4171,0.4169,-0.8159,3.4596,0.1,0.4149,0.8269,0.0022,0.0002,,,,
924,,,,,,,,,,,-0.88,0.0,11.0,60.4485
935,0.0104,0.4354,0.4351,-0.8134,3.4554,0.1,0.4381,0.8843,0.002,0.0002,,,,
935,,,,,,,,,,,-0.74,0.0,11.0,60.8613
946,0.0105,0.435,0.435,-0.8189,3.4508,0.1,0.3825,0.7517,0.0021,0.0003,,,,
946,,,,,,,,,,,-0.9,0.0,11.0,58.5237
957,0.0126,0.4242,0.4242,-0.8258,3.4509,0.1,0.3958,0.7732,0.0029,0.0004,,,,
957,,,,,,,,,,,-0.66,0.0,11.0,59.2113
968,0.0112,0.4411,0.4413,-0.8271,3.4556,0.1,0.4451,0.9047,0.0023,0.0003,,,,
968,,,,,,,,,,,-0.97,0.0,11.0,64.1354
979,0.0089,0.4428,0.4429,-0.8352,3.4596,0.1,0.3085,0.5582,0.0021,0.0002,,,,
979,,,,,,,,,,,-0.79,0.0,11.0,59.7151
990,0.0095,0.4451,0.4448,-0.8298,3.4614,0.1,0.3783,0.7352,0.0023,0.0002,,,,
990,,,,,,,,,,,-0.9,0.0,11.0,62.662
1001,0.0091,0.4421,0.4421,-0.8363,3.4593,0.1,0.426,0.8491,0.0028,0.0002,,,,
1001,,,,,,,,,,,-1.0,0.0,11.0,56.3444
1012,0.0082,0.4735,0.4737,-0.8454,3.4549,0.1,0.3524,0.6769,0.0023,0.0003,,,,
1012,,,,,,,,,,,-0.83,0.0,11.0,58.5487
1023,0.0091,0.4564,0.4564,-0.8448,3.4482,0.1,0.4198,0.8345,0.0038,0.0007,,,,
1023,,,,,,,,,,,-0.86,0.0,11.0,57.5386
1034,0.0098,0.4609,0.4607,-0.8434,3.4495,0.1,0.438,0.889,0.0023,0.0004,,,,
1034,,,,,,,,,,,-0.99,0.0,11.0,57.7168
1045,0.0073,0.4641,0.4638,-0.8515,3.4609,0.1,0.3706,0.716,0.0024,0.0003,,,,
1045,,,,,,,,,,,-0.79,0.0,11.0,58.4488
1056,0.0083,0.467,0.467,-0.8534,3.4712,0.1,0.4237,0.8605,0.0033,0.0005,,,,
1056,,,,,,,,,,,-0.97,0.0,11.0,61.1944
1067,0.0084,0.4678,0.468,-0.8632,3.4727,0.1,0.2844,0.5139,0.0033,0.0005,,,,
1067,,,,,,,,,,,-0.97,0.0,11.0,58.3759
1078,0.0088,0.4688,0.4687,-0.8578,3.4641,0.1,0.4627,0.9561,0.0024,0.0004,,,,
1078,,,,,,,,,,,-0.74,0.0,11.0,60.6198
1089,0.0074,0.4688,0.4685,-0.8671,3.4469,0.1,0.3435,0.6523,0.0026,0.0006,,,,
1089,,,,,,,,,,,-0.7,0.0,11.0,58.842
1100,0.0095,0.4709,0.4707,-0.8709,3.4413,0.1,0.3027,0.5427,0.0042,0.001,,,,
1100,,,,,,,,,,,-0.72,0.0,11.0,60.4768
1100,,,,,,,,,,,-0.83,0.0,11.0,0.0
1111,0.0093,0.4861,0.4863,-0.8663,3.4514,0.1,0.4515,0.9298,0.0034,0.0006,,,,
1111,,,,,,,,,,,-0.91,0.0,11.0,60.5577
1122,0.0124,0.5032,0.5028,-0.8849,3.4584,0.1,0.233,0.3773,0.003,0.0006,,,,
1122,,,,,,,,,,,-0.71,0.0,11.0,62.1173
1133,0.0128,0.4881,0.4883,-0.8762,3.4661,0.1,0.3164,0.5947,0.0041,0.0008,,,,
1133,,,,,,,,,,,-0.83,0.0,11.0,60.2762
1144,0.0129,0.5022,0.5026,-0.8784,3.4748,0.1,0.4556,0.9531,0.0045,0.0005,,,,
1144,,,,,,,,,,,-0.89,0.0,11.0,62.1645
1155,0.0152,0.5049,0.5045,-0.8869,3.4847,0.1,0.4048,0.8296,0.0035,0.0006,,,,
1155,,,,,,,,,,,-1.13,0.0,11.0,59.4033
1166,0.0153,0.4899,0.4899,-0.8844,3.4797,0.1,0.3566,0.7088,0.0055,0.0006,,,,
1166,,,,,,,,,,,-0.65,0.0,11.0,63.0677
1177,0.0115,0.4966,0.4972,-0.8824,3.4715,0.1,0.3108,0.5797,0.0101,0.0018,,,,
1177,,,,,,,,,,,-0.79,0.0,11.0,59.6811
1188,0.0138,0.4969,0.4969,-0.8648,3.4927,0.1,0.5003,1.0598,0.0031,0.0005,,,,
1188,,,,,,,,,,,-1.01,0.0,11.0,61.1397
1199,0.0124,0.5117,0.511,-0.904,3.5049,0.1,0.206,0.311,0.0025,0.0006,,,,
1199,,,,,,,,,,,-0.8,0.0,11.0,59.5383
1210,0.0138,0.5115,0.5115,-0.9034,3.5066,0.1,0.5393,1.1775,0.0025,0.0005,,,,
1210,,,,,,,,,,,-0.82,0.0,11.0,62.9209
