env_steps,critic_loss,q1,q2,actor_loss,entropy,coef,critic_grad_norm,critic_seq_grad_norm,actor_grad_norm,actor_seq_grad_norm
24000,33406.9174,-12494.7026,-12495.0391,-228.3246,3.9696,1.0,49960.4025,168015.7402,0.2659,0.0
24100,32660.2224,-12316.0107,-12316.4687,-225.1305,3.9696,1.0,73892.5706,258428.3008,0.2766,0.0
24200,36163.456,-12462.3412,-12463.5207,-227.7456,3.9698,1.0,697381.8132,2333805.0,0.2699,0.0
24300,39014.8412,-12540.1244,-12540.6695,-229.2668,3.9696,1.0,383700.8155,1393410.1719,0.2632,0.0
24400,39584.4843,-12298.3835,-12299.964,-224.6396,3.9696,1.0,243939.9012,862679.9844,0.2614,0.0
24500,37854.2151,-12543.5391,-12542.8569,-229.3913,3.9697,1.0,230590.4037,857369.7656,0.2852,0.0
24600,34584.2806,-12530.7596,-12531.7075,-229.0305,3.9697,1.0,128691.0704,483809.3125,0.2125,0.0
24700,36027.0666,-12489.5009,-12490.0756,-228.3321,3.9696,1.0,396372.1571,1204416.9375,0.2929,0.0
24800,37883.6471,-12586.2171,-12586.7857,-229.9922,3.9696,1.0,268339.2024,980012.3281,0.2489,0.0
24900,39417.3687,-12896.3999,-12897.2728,-235.773,3.9696,1.0,142470.2412,475920.8047,0.2887,0.0
25000,36735.6454,-12565.3831,-12565.601,-229.7591,3.9695,1.0,366838.8471,1301645.0625,0.2825,0.0
25100,44979.6515,-12700.526,-12701.8566,-231.9995,3.9695,1.0,1475489.6592,5481510.5625,0.2757,0.0
25200,45148.9688,-13044.7879,-13045.973,-238.6848,3.9696,1.0,172822.2285,608962.0625,0.2236,0.0
25300,34361.807,-12624.5063,-12625.4058,-230.7199,3.9695,1.0,67100.3066,220636.9375,0.2531,0.0
25400,33427.242,-12605.4352,-12606.025,-230.4515,3.9696,1.0,118348.4946,402605.8984,0.2382,0.0
25500,33761.2477,-12575.9425,-12577.0071,-229.9281,3.9696,1.0,94082.8113,251538.1445,0.2063,0.0
25600,33091.4692,-12716.3827,-12717.0127,-232.4481,3.9696,1.0,58254.4817,179765.7793,0.3226,0.0
25700,34404.347,-12607.7117,-12609.4039,-230.5443,3.9696,1.0,378459.3114,1360042.5156,0.3005,0.0
25800,62791.1356,-12585.2476,-12586.0751,-230.2643,3.9696,1.0,827979.0742,3033704.6875,0.2627,0.0
25900,72862.278,-12742.7277,-12743.5411,-232.8918,3.9696,1.0,337760.0734,1227659.4844,0.2282,0.0
26000,40290.8427,-12642.587,-12641.9256,-231.2411,3.9697,1.0,162714.2194,522214.4844,0.2405,0.0
26100,36138.5784,-13045.7147,-13046.8464,-238.5416,3.9695,1.0,50661.1823,145819.959,0.2747,0.0
26200,36284.8744,-12943.3912,-12944.3402,-236.6849,3.9696,1.0,101417.8745,269066.5039,0.2499,0.0
