env_steps,return,length,FPS,time
40123,-174.0,100,42.8331,2.3346
40223,-174.0,100,44.5124,2.2466
40323,-484.0,100,42.92,2.3299
40423,-164.0,100,43.1061,2.3199
40523,-200.0,100,43.0234,2.3243
40623,-184.0,100,42.4542,2.3555
40723,-230.0,100,42.6393,2.3453
40823,-228.0,100,45.3349,2.2058
40923,-254.0,100,45.183,2.2132
41023,-174.0,100,0.0,0.4012
41123,-164.0,100,43.505,2.2986
41223,-244.0,100,42.2586,2.3664
41323,-650.0,100,42.4669,2.3548
41423,-200.0,100,42.9413,2.3288
41523,-290.0,100,42.0988,2.3754
41623,-204.0,100,43.3663,2.3059
41723,-180.0,100,44.1202,2.2665
41823,-160.0,100,42.8648,2.3329
41923,-174.0,100,43.2526,2.312
42023,-75.0,53,0.0,0.2213
42076,-160.0,100,39.8627,1.3296
42176,-174.0,100,42.9098,2.3305
42276,-244.0,100,43.5193,2.2978
42376,-640.0,100,44.0512,2.2701
42476,-194.0,100,44.8555,2.2294
42576,-160.0,100,41.7912,2.3928
42676,-270.0,100,41.1473,2.4303
42776,-224.0,100,44.8606,2.2291
42876,-480.0,100,42.9523,2.3282
42976,-190.0,100,43.2832,2.3104
43076,-160.0,100,0.0,0.3939
43176,-234.0,100,43.596,2.2938
43276,-174.0,100,41.0814,2.4342
43376,-184.0,100,42.917,2.3301
43476,-324.0,100,44.4416,2.2501
43576,-164.0,100,41.3022,2.4212
43676,-254.0,100,42.8292,2.3349
43776,-224.0,100,43.8036,2.2829
43876,-184.0,100,45.3962,2.2028
43976,-270.0,100,42.4566,2.3553
44076,-330.0,100,0.0,0.3963
44176,-174.0,100,41.514,2.4088
44276,-354.0,100,43.9479,2.2754
44376,-160.0,100,45.1767,2.2135
44476,-174.0,100,41.911,2.386
44576,-42.0,26,48.633,2.0562
44602,-160.0,100,31.1613,0.8344
44702,-160.0,100,44.6169,2.2413
44802,-254.0,100,43.7273,2.2869
44902,-190.0,100,39.7286,2.5171
45002,-160.0,100,0.0,0.4018
45102,-174.0,100,43.7657,2.2849
45202,-200.0,100,44.403,2.2521
45302,-734.0,100,42.6414,2.3451
45402,-944.0,100,43.2025,2.3147
45502,-170.0,100,40.6733,2.4586
45602,-170.0,100,43.295,2.3097
45702,-414.0,100,42.8667,2.3328
45802,-174.0,100,41.507,2.4092
45902,-200.0,100,41.3228,2.42
46002,-164.0,100,0.0,0.437
46102,-180.0,100,43.1155,2.3194
46202,-170.0,100,43.2943,2.3098
46302,-204.0,100,44.1563,2.2647
46402,-170.0,100,44.1718,2.2639
46502,-164.0,100,44.4983,2.2473
46602,-204.0,100,43.7321,2.2866
46702,-284.0,100,46.9065,2.1319
46802,-370.0,100,40.9908,2.4396
46902,-434.0,100,44.98,2.2232
47002,-304.0,100,0.0,0.3949
47102,-194.0,100,42.3296,2.3624
47202,-294.0,100,42.4941,2.3533
47302,-234.0,100,44.9981,2.2223
47402,-254.0,100,41.4286,2.4138
47502,-214.0,100,45.3037,2.2073
47602,6.0,52,46.9159,2.1315
47654,-220.0,100,39.9754,1.3008
47754,-214.0,100,46.8107,2.1363
47854,-304.0,100,44.143,2.2654
47954,-200.0,100,42.2432,2.3672
48054,-190.0,100,0.0,0.3965
48154,-224.0,100,47.5283,2.104
48254,-204.0,100,44.1343,2.2658
48354,-194.0,100,44.1082,2.2672
48454,-160.0,100,43.5026,2.2987
48554,-890.0,100,42.2262,2.3682
48654,-404.0,100,45.0313,2.2207
48754,-304.0,100,40.8682,2.4469
48854,-750.0,100,40.043,2.4973
48954,-210.0,100,47.2389,2.1169
49054,-164.0,100,0.0,0.3979
49154,-280.0,100,43.1909,2.3153
49254,-334.0,100,43.1711,2.3164
49354,-398.0,100,42.812,2.3358
49454,-769.0,93,46.5261,2.1493
49547,-294.0,100,41.7667,2.2267
49647,-444.0,100,42.8259,2.335
49747,-264.0,100,43.7947,2.2834
49847,-474.0,100,44.7934,2.2325
