env_steps,return,invalid_actions,length,FPS,time
46300,-9.0,0.91,100,28.87,3.4638
46400,-7.7,0.81,100,30.1705,3.3145
46500,-8.1,0.87,100,29.093,3.4373
46600,-8.3,0.86,100,30.5698,3.2712
46700,-8.0,0.86,100,30.4276,3.2865
46800,-7.0,0.82,100,29.6105,3.3772
46900,-9.7,0.97,100,28.6973,3.4846
47000,-9.6,0.96,100,0.0,0.4324
47100,-9.6,0.96,100,29.1916,3.4256
47200,-8.3,0.88,100,30.568,3.2714
47300,-9.5,0.95,100,30.7778,3.2491
47400,-4.4,0.86,100,30.3318,3.2969
47500,-2.1,0.72,100,30.1391,3.318
47600,-6.8,0.75,100,30.9325,3.2328
47700,-5.7,0.84,100,31.3116,3.1937
47800,1.1,0.61,100,31.1485,3.2104
47900,-8.7,0.89,100,31.2391,3.2011
48000,-9.3,0.93,100,0.0,0.4012
48100,-6.4,0.76,100,31.0951,3.2159
48200,-7.5,0.78,100,31.2071,3.2044
48300,-8.0,0.83,100,31.187,3.2065
48400,-9.3,0.93,100,31.1938,3.2058
48500,-6.8,0.77,100,31.108,3.2146
48600,-5.1,0.88,100,31.062,3.2194
48700,-9.1,0.92,100,30.749,3.2521
48800,-8.5,0.89,100,30.6602,3.2616
48900,-9.5,0.95,100,30.2556,3.3052
49000,-9.2,0.92,100,0.0,0.4606
49100,-9.6,0.96,100,28.7489,3.4784
49200,-9.2,0.93,100,28.6425,3.4913
49300,-9.3,0.94,100,31.0958,3.2159
49400,-3.8,0.85,100,31.2084,3.2043
49500,-8.7,0.89,100,31.3159,3.1933
49600,-7.9,0.82,100,31.2882,3.1961
49700,-9.0,0.9,100,31.1852,3.2067
49800,-7.6,0.92,100,31.0934,3.2161
49900,-9.4,0.95,100,31.2913,3.1958
