env_steps,critic_loss,q1
25100,253.5148,-146.5904
25200,229.9036,-146.4875
25300,204.7258,-147.0903
25400,199.6789,-146.8574
25500,246.0555,-146.9447
25600,263.4727,-146.4055
25700,228.6826,-146.6865
25800,241.5498,-146.6982
25900,227.0009,-146.8254
26000,235.3915,-146.9512
26100,199.2547,-147.2092
26200,240.01,-147.1249
26300,220.8712,-147.1167
26400,214.4859,-146.9851
26500,261.6694,-146.5511
26600,186.4194,-147.3092
26700,215.1677,-147.166
26800,196.6787,-147.6592
26900,255.1707,-147.0648
27000,192.3007,-147.4495
27100,251.7246,-147.669
27200,250.8346,-147.0766
27300,231.9719,-147.2797
27400,263.9726,-146.7339
27500,183.9671,-147.4716
27600,201.4904,-147.72
27700,195.2459,-147.7812
27800,221.5851,-147.4799
27900,166.5726,-148.3952
28000,238.7449,-148.0034
28100,235.5786,-147.9362
28200,210.812,-147.8463
28300,230.4348,-148.1338
28400,205.8078,-147.781
28500,221.9281,-147.7069
28600,218.46,-147.6524
28700,228.8497,-147.662
28800,203.5809,-147.7503
28900,229.1951,-147.5078
29000,234.3862,-147.1801
29100,217.3145,-147.109
29200,207.4343,-147.1182
29300,230.3691,-147.0753
29400,216.338,-147.287
29500,206.2234,-147.3199
29600,246.5095,-146.7512
29700,221.2074,-147.0328
29800,217.4683,-146.9948
29900,187.4687,-147.1474
30000,203.7659,-147.3014
30100,230.3753,-147.3546
30200,211.4781,-147.2801
30300,219.646,-147.05
30400,239.4365,-146.7873
30500,237.4038,-146.692
30600,249.1168,-146.2165
30700,213.6324,-146.4999
30800,237.8818,-146.0043
30900,259.7536,-145.8055
31000,212.0392,-145.984
31100,222.2577,-145.472
31200,243.8503,-145.5736
31300,246.8958,-145.523
31400,203.0645,-145.5717
31500,228.0238,-145.7233
31600,254.7267,-145.3992
31700,188.5967,-145.393
31800,153.3238,-146.3569
31900,232.9662,-145.5805
32000,171.9366,-146.438
32100,212.0407,-146.289
32200,191.1144,-146.6531
32300,192.2614,-146.5444
32400,223.6992,-146.4718
32500,206.8869,-146.652
32600,217.1546,-146.2184
32700,219.3298,-146.2397
32800,236.4639,-145.9012
32900,254.1498,-145.5023
33000,226.182,-145.7271
33100,188.0816,-145.9047
33200,218.5054,-145.8031
33300,229.2089,-145.9578
33400,265.2118,-145.7665
33500,220.1638,-145.8398
33600,185.3041,-146.0918
33700,222.6515,-146.1268
33800,236.8448,-145.9712
33900,263.7136,-145.3359
34000,259.0559,-144.8032
34100,248.5018,-144.681
34200,208.8444,-145.0447
34300,185.8978,-145.1346
34400,226.1939,-145.1483
34500,246.0397,-144.8125
34600,176.0452,-145.2387
34700,252.171,-144.6763
34800,215.1846,-145.1965
34900,232.4092,-144.6728
35000,182.5161,-145.3271
35100,247.1803,-144.9132
35200,233.0078,-144.9059
35300,280.6053,-143.8458
35400,215.8933,-144.1333
35500,257.5419,-143.8882
35600,273.4579,-143.4344
35700,229.1392,-143.4253
35800,205.6657,-143.5793
35900,214.7909,-143.4917
36000,231.8168,-143.7014
36100,266.8,-142.9069
36200,201.839,-143.3442
36300,213.8909,-143.3753
36400,180.1914,-143.8807
36500,198.2367,-144.3988
36600,223.019,-143.9664
36700,255.295,-143.751
36800,181.3342,-144.4228
36900,188.4993,-144.8176
37000,225.4634,-144.9022
37100,199.3077,-145.1256
37200,206.1974,-145.1735
37300,210.415,-144.9504
37400,185.0767,-145.4774
37500,231.7409,-145.5296
37600,219.6718,-145.4271
37700,205.8609,-145.4006
37800,174.9694,-145.8929
37900,204.8423,-145.8129
38000,199.9642,-145.6831
38100,171.3788,-146.073
38200,257.7088,-145.6234
38300,223.5223,-145.9445
38400,267.3492,-145.1352
38500,208.7726,-145.2363
38600,184.6536,-145.6586
38700,209.1315,-146.0047
38800,192.2085,-146.0213
38900,207.5717,-146.0692
39000,208.1018,-146.1033
39100,202.2221,-146.1711
39200,245.2464,-145.7824
39300,231.5276,-145.8599
39400,231.1951,-145.8842
39500,202.6721,-145.7058
39600,236.212,-145.5778
39700,227.2397,-145.6681
39800,219.7314,-145.3634
39900,217.7326,-145.3607
40000,206.609,-145.5589
40100,202.7424,-145.9654
40200,198.1298,-145.9642
40300,227.5249,-145.4998
40400,223.4333,-145.5692
40500,247.1927,-145.4215
