env_steps,critic_loss,q1,q2,actor_loss,entropy,coef,critic_grad_norm,critic_seq_grad_norm,actor_grad_norm,actor_seq_grad_norm,return,success,length,FPS
1111,0.0084,0.4812,0.4808,-0.8717,3.5109,0.1,0.4947,1.012,0.0039,0.0002,,,,
1122,0.0129,0.4755,0.4758,-0.8699,3.5233,0.1,0.5457,1.1531,0.0057,0.0009,,,,
1133,0.009,0.4917,0.4913,-0.8716,3.5287,0.1,0.4484,0.9109,0.0078,0.0017,,,,
1144,0.0118,0.4682,0.4685,-0.8789,3.522,0.1,0.4059,0.7998,0.0099,0.0028,,,,
1155,0.0107,0.4862,0.486,-0.8823,3.4854,0.1,0.4415,0.8767,0.0075,0.0024,,,,
1166,0.0109,0.4811,0.4807,-0.8602,3.368,0.1,0.4117,0.7844,0.0255,0.0087,,,,
1177,0.0117,0.4471,0.4479,-0.818,3.3336,0.1,0.5372,1.096,0.029,0.0096,,,,
1188,0.0114,0.4535,0.4533,-0.8408,3.444,0.1,0.4091,0.8044,0.0068,0.001,,,,
1199,0.011,0.4867,0.485,-0.8846,3.4997,0.1,0.3486,0.6792,0.0044,0.0019,,,,
1210,0.01,0.509,0.5094,-0.896,3.5164,0.1,0.4703,0.9721,0.0048,0.0023,,,,
